Species Number,Alpha Code,Common Name,Scientific Name,T & E
5876,URST,Unidentified Rufous-sided Towhee,,
5880,SPTO,Spotted Towhee,Pipilo maculatus,
5900,GTTO,Green-tailed Towhee,Pipilo chlorurus,
5906,HYTO,Hybrid Towhee,,
5910,CANT,Canyon Towhee,Melozone fusca,
5911,CALT,California Towhee,Melozone crissalis,
5912,ICTO,Inyo California Towhee,Melozone crissalis eremophilus,Y
5920,ABTO,Abert's Towhee,Melozone aberti,
5922,RCCA,Red-crested Cardinal,Paroaria coronata,
5923,YBCA,Yellow-billed Cardinal,Paroaria capitata,
5930,NOCA,Northern Cardinal,Cardinalis cardinalis,
5940,PYRR,Pyrrhuloxia,Cardinalis sinuatus,
5950,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,
5960,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,
5961,YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,
5970,BLGR,Blue Grosbeak,Passerina caerulea,
5971,BLBU,Blue Bunting,Cyanocompsa parellina,
5980,INBU,Indigo Bunting,Passerina cyanea,
5986,ILBH,Indigo X Lazuli Bunting Hybrid,,
5990,LAZB,Lazuli Bunting,Passerina amoena,
6000,VABU,Varied Bunting,Passerina versicolor,
6010,PABU,Painted Bunting,Passerina ciris,
6020,WCSE,White-collared Seedeater,Sporophila torqueola,
6021,PUEB,Puerto Rican Bullfinch,Melopyrrha portoricensis,
6022,LESB,Lesser Antillean Bullfinch,Loxigilla noctis,
6030,BFGR,Black-faced Grassquit,Tiaris bicolor,
6031,CUGR,Cuban Grassquit,Tiaris canorus,
6032,YFGR,Yellow-faced Grassquit,Tiaris olivaceus,
6040,DICK,Dickcissel,Spiza americana,
6050,LARB,Lark Bunting,Calamospiza melanocorys,
6061,ANEU,Antillean Euphonia,Euphonia musica,
6070,WETA,Western Tanager,Piranga ludoviciana,
6071,FCTA,Flame-colored Tanager,Piranga bidentata,
6080,SCTA,Scarlet Tanager,Piranga olivacea,
6090,HETA,Hepatic Tanager,Piranga flava,
6100,SUTA,Summer Tanager,Piranga rubra,
6101,WESP,Western Spindalis,Spindalis zena,
6102,PRTA,Puerto Rican Tanager,Nesospingus speculiferus,
6103,HISP,Hispaniolan Spindalis,Spindalis dominicensis,
6104,PRSP,Puerto Rican Spindalis,Spindalis portoricensis,
6105,JAMS,Jamaican Spindalis,Spindalis nigricephala,
