Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Chaetura_cinereiventris,Chaetura cinereiventris,,Carnivore,Invertivore,Invertivore aerial
Chaetura_egregia,Chaetura egregia,,Carnivore,Invertivore,Invertivore aerial
Chaetura_fumosa,Chaetura fumosa,,Carnivore,Invertivore,Invertivore aerial
Chaetura_martinica,Chaetura martinica,,Carnivore,Invertivore,Invertivore aerial
Chaetura_meridionalis,Chaetura meridionalis,,Carnivore,Invertivore,Invertivore aerial
Chaetura_pelagica,Chaetura pelagica,,Carnivore,Invertivore,Invertivore aerial
Chaetura_spinicaudus,Chaetura spinicaudus,,Carnivore,Invertivore,Invertivore aerial
Chaetura_vauxi,Chaetura vauxi,,Carnivore,Invertivore,Invertivore aerial
Chaetura_viridipennis,Chaetura viridipennis,,Carnivore,Invertivore,Invertivore aerial
Chaimarrornis_leucocephalus,Chaimarrornis leucocephalus,,Carnivore,Aquatic predator,Aquatic ground
Chalcophaps_indica,Chalcophaps indica,,Herbivore,Omnivore,NA
Chalcophaps_stephani,Chalcophaps stephani,,Herbivore,Omnivore,NA
Chalcopsitta_atra,Chalcopsitta atra,,Herbivore,Nectarivore,Nectarivore glean
Chalcopsitta_cardinalis,Chalcopsitta cardinalis,,Herbivore,Nectarivore,Nectarivore glean
Chalcopsitta_duivenbodei,Chalcopsitta duivenbodei,,Herbivore,Nectarivore,Nectarivore glean
Chalcopsitta_sintillata,Chalcopsitta sintillata,,Herbivore,Nectarivore,Nectarivore glean
Chalcostigma_herrani,Chalcostigma herrani,,Herbivore,Nectarivore,Nectarivore aerial
Chalcostigma_heteropogon,Chalcostigma heteropogon,,Herbivore,Nectarivore,Nectarivore aerial
Chalcostigma_olivaceum,Chalcostigma olivaceum,,Herbivore,Nectarivore,Nectarivore aerial
Chalcostigma_ruficeps,Chalcostigma ruficeps,,Herbivore,Nectarivore,Nectarivore aerial
Chalcostigma_stanleyi,Chalcostigma stanleyi,,Herbivore,Nectarivore,Nectarivore aerial
Chalybura_buffonii,Chalybura buffonii,,Herbivore,Nectarivore,Nectarivore aerial
Chalybura_urochrysia,Chalybura urochrysia,,Herbivore,Nectarivore,Nectarivore aerial
Chamaea_fasciata,Chamaea fasciata,,Omnivore,Invertivore,Invertivore glean arboreal
Chamaepetes_goudotii,Chamaepetes goudotii,,Herbivore,Frugivore,Fugivore glean
Chamaepetes_unicolor,Chamaepetes unicolor,,Herbivore,Frugivore,Fugivore glean
Chamaeza_campanisona,Chamaeza campanisona,,Carnivore,Invertivore,Invertivore ground
Chamaeza_meruloides,Chamaeza meruloides,,Carnivore,Invertivore,Invertivore ground
Chamaeza_mollissima,Chamaeza mollissima,,Carnivore,Invertivore,Invertivore ground
Chamaeza_nobilis,Chamaeza nobilis,,Carnivore,Invertivore,Invertivore ground
Chamaeza_ruficauda,Chamaeza ruficauda,,Carnivore,Invertivore,Invertivore ground
Chamaeza_turdina,Chamaeza turdina,,Carnivore,Invertivore,Invertivore ground
Charadrius_alexandrinus,Charadrius alexandrinus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_alticola,Charadrius alticola,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_asiaticus,Charadrius asiaticus,,Carnivore,Omnivore,NA
Charadrius_australis,Charadrius australis,,Herbivore,Omnivore,NA
Charadrius_bicinctus,Charadrius bicinctus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_collaris,Charadrius collaris,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_dubius,Charadrius dubius,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_falklandicus,Charadrius falklandicus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_forbesi,Charadrius forbesi,,Carnivore,Invertivore,Invertivore ground
Charadrius_hiaticula,Charadrius hiaticula,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_javanicus,Charadrius javanicus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_leschenaultii,Charadrius leschenaultii,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_marginatus,Charadrius marginatus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_melodus,Charadrius melodus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_modestus,Charadrius modestus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_mongolus,Charadrius mongolus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_montanus,Charadrius montanus,,Carnivore,Invertivore,Invertivore ground
Charadrius_obscurus,Charadrius obscurus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_pallidus,Charadrius pallidus,,Carnivore,Aquatic predator,Aquatic ground
Charadrius_pecuarius,Charadrius pecuarius,,Carnivore,Aquatic predator,Aquatic ground
