species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Rock Pigeon,Columba livia,16195053,14584425,17988593,2006,2015,Introduced,Introduced,Introduced
Rock Sandpiper,Calidris ptilocnemis,144800,67900,334400,2011,2013,M,Arctic Tundra,Coastal
Rock Wren,Salpinctes obsoletus,3362014,2744880,4115789,2006,2015,M,Aridlands,Southwestern Aridlands
Rose-breasted Grosbeak,Pheucticus ludovicianus,4715733,4058034,5474743,2006,2015,M,Eastern Forest,Widespread Neotropical
Roseate Spoonbill,Platalea ajaja,11000,8250,13750,1997,1999,M,Wetland,Widespread Neotropical
Ross's Goose,Anser rossii,2122006,1909805,2334207,2013,2015,M,Arctic Tundra,Temperate North America
Rough-legged Hawk,Buteo lagopus,296141,248433,370060,2006,2015,M,Arctic Tundra,Temperate North America
Royal Tern,Thalasseus maximus,35206,10179,70873,2006,2015,M,Coasts,Coastal
Ruby-crowned Kinglet,Regulus calendula,99900936,90024695,110791661,2006,2015,M,Boreal Forest,Temperate North America
Ruby-throated Hummingbird,Archilochus colubris,35777111,31236693,40921667,2006,2015,M,Eastern Forest,Mexico-Central America
Ruddy Duck,Oxyura jamaicensis,1334697,970409,1802652,2006,2015,M,Wetland,Widespread
Ruddy Turnstone,Arenaria interpres,245000,163333,367500,2011,2013,M,Arctic Tundra,Coastal
Ruffed Grouse,Bonasa umbellus,16500000,8250000,24750000,2004,2006,R,Forest Generalist,Temperate North America
Rufous-crowned Sparrow,Aimophila ruficeps,601135,407380,851057,2006,2015,R,Aridlands,Southwestern Aridlands
Rufous Hummingbird,Selasphorus rufus,21694644,13724171,32781297,2006,2015,M,Western Forest,Mexico-Central America
Rusty Blackbird,Euphagus carolinus,6804603,4919111,9459126,2006,2015,M,Boreal Forest,Temperate North America
Sage Thrasher,Oreoscoptes montanus,6362519,4673219,8479429,2006,2015,M,Aridlands,Southwestern Aridlands
Sagebrush Sparrow,Artemisiospiza nevadensis,5386123,3477545,8199885,2006,2015,M,Aridlands,Southwestern Aridlands
Sanderling,Calidris alba,300000,120000,750000,2011,2013,M,Arctic Tundra,Coastal
Sandhill Crane,Antigone canadensis,500000,450000,550000,2009,2011,M,Wetland,Widespread
Sandwich Tern,Thalasseus sandvicensis,93890,70418,117363,1984,1986,M,Coasts,Coastal
Savannah Sparrow,Passerculus sandwichensis,168676799,144322771,195333538,2006,2015,M,Grassland,Temperate North America
Say's Phoebe,Sayornis saya,5044646,4348767,5764857,2006,2015,M,Habitat Generalist,Southwestern Aridlands
Scaled Quail,Callipepla squamata,2393345,1766520,3168001,2006,2015,R,Aridlands,Southwestern Aridlands
Scarlet Tanager,Piranga olivacea,2574915,2256623,2956329,2006,2015,M,Eastern Forest,South America
Scissor-tailed Flycatcher,Tyrannus forficatus,7914013,6502356,9635329,2006,2015,M,Grassland,Mexico-Central America
Scott's Oriole,Icterus parisorum,1721724,1332821,2134384,2006,2015,M,Western Forest,Mexico-Central America
Seaside Sparrow,Ammospiza maritima,196782,32213,523319,2006,2015,M,Coasts,Coastal
Sedge Wren,Cistothorus platensis,5017990,4252225,5954334,2006,2015,M,Grassland,Temperate North America
Semipalmated Plover,Charadrius semipalmatus,200000,80000,500000,2011,2013,M,Arctic Tundra,Coastal
Semipalmated Sandpiper,Calidris pusilla,2260000,1728400,2791600,2011,2013,M,Arctic Tundra,Coastal
Sharp-shinned Hawk,Accipiter striatus,405947,303414,524274,2006,2015,M,Forest Generalist,Widespread
Sharp-tailed Grouse,Tympanuchus phasianellus,761942,569936,975726,2006,2015,R,Grassland,Temperate North America
Short-billed Dowitcher,Limnodromus griseus,153000,61200,382500,2011,2013,M,Wetland,Coastal
Short-eared Owl,Asio flammeus,602353,485388,747895,2006,2015,M,Habitat Generalist,Temperate North America
Smith's Longspur,Calcarius pictus,75000,18750,131250,1992,1994,M,Arctic Tundra,Temperate North America
Snow Bunting,Plectrophenax nivalis,14267309,14267309,14267309,2006,2015,M,Arctic Tundra,Temperate North America
Snow Goose,Anser caerulescens,15305450,13774905,16835995,2013,2015,M,Arctic Tundra,Temperate North America
Snowy Egret,Egretta thula,215935,152524,300633,2006,2015,M,Wetland,Widespread
Snowy Owl,Bubo scandiacus,14000,7000,21000,2011,2013,M,Arctic Tundra,Temperate North America
Snowy Plover,Charadrius nivosus,31350,23840,41225,2011,2013,M,Coasts,Coastal
Solitary Sandpiper,Tringa solitaria,189000,75600,472500,2011,2013,M,Wetland,South America
